"plot","bloc","Ptrt","Inoc","Cv","time","P_leaf"
29,2,"high","myco","WALWORTH","PT2",2071.53
29,2,"high","myco","WALWORTH","PT3",86.53
30,2,"high","myco","ALPOWA","PT1",3341.98
30,2,"high","myco","ALPOWA","PT2",2307.88
30,2,"high","myco","ALPOWA","PT3",110.01
31,2,"low","myco","LOUISE","PT1",3058.75
31,2,"low","myco","LOUISE","PT2",2308.6
31,2,"low","myco","LOUISE","PT3",128.92
32,2,"low","myco","BlancaG","PT1",3323.79
32,2,"low","myco","BlancaG","PT2",2258.96
32,2,"low","myco","BlancaG","PT3",405.41
33,2,"low","myco","OTIS","PT1",3149.84
33,2,"low","myco","OTIS","PT2",2173.6
33,2,"low","myco","OTIS","PT3",181.31
34,2,"low","myco","WALWORTH","PT1",2730.34
34,2,"low","myco","WALWORTH","PT2",2278.6
34,2,"low","myco","WALWORTH","PT3",122.5
35,2,"low","myco","ALPOWA","PT1",2955.3
35,2,"low","myco","ALPOWA","PT2",2281.57
35,2,"low","myco","ALPOWA","PT3",204.52
36,2,"low","none","WALWORTH","PT1",2908.17
36,2,"low","none","WALWORTH","PT2",2273.94
36,2,"low","none","WALWORTH","PT3",156.49
37,2,"low","none","BlancaG","PT1",3279.12
37,2,"low","none","BlancaG","PT2",2378.4
37,2,"low","none","BlancaG","PT3",295.98
38,2,"low","none","LOUISE","PT1",3301.16
38,2,"low","none","LOUISE","PT2",2378.16
38,2,"low","none","LOUISE","PT3",80.06
39,2,"low","none","OTIS","PT1",3317.56
39,2,"low","none","OTIS","PT2",2302.96
39,2,"low","none","OTIS","PT3",343.33
40,2,"low","none","ALPOWA","PT1",3477.65
40,2,"low","none","ALPOWA","PT2",2246.01
40,2,"low","none","ALPOWA","PT3",161.36
41,3,"low","myco","BlancaG","PT1",3208.48
41,3,"low","myco","BlancaG","PT2",2183.48
41,3,"low","myco","BlancaG","PT3",168.58
42,3,"low","myco","OTIS","PT1",3156.61
42,3,"low","myco","OTIS","PT2",2223.08
42,3,"low","myco","OTIS","PT3",155.5
43,3,"low","myco","LOUISE","PT1",2952.87
43,3,"low","myco","LOUISE","PT2",2221.82
43,3,"low","myco","LOUISE","PT3",56.86
44,3,"low","myco","ALPOWA","PT1",3202.11
44,3,"low","myco","ALPOWA","PT2",2366.08
44,3,"low","myco","ALPOWA","PT3",82.06
45,3,"low","myco","WALWORTH","PT1",2804.63
45,3,"low","myco","WALWORTH","PT2",2248.44
45,3,"low","myco","WALWORTH","PT3",239.51
46,3,"low","none","WALWORTH","PT1",2736.36
46,3,"low","none","WALWORTH","PT2",2011.94
46,3,"low","none","WALWORTH","PT3",269.09
47,3,"low","none","ALPOWA","PT1",3557.58
47,3,"low","none","ALPOWA","PT2",2384.26
47,3,"low","none","ALPOWA","PT3",192.68
48,3,"low","none","LOUISE","PT1",3188.2
48,3,"low","none","LOUISE","PT2",2392.04
48,3,"low","none","LOUISE","PT3",200.88
49,3,"low","none","OTIS","PT1",3289.97
49,3,"low","none","OTIS","PT2",2278.48
49,3,"low","none","OTIS","PT3",253.58
50,3,"low","none","BlancaG","PT1",3084.52
50,3,"low","none","BlancaG","PT2",2362.27
50,3,"low","none","BlancaG","PT3",306.42
51,3,"high","none","WALWORTH","PT1",2505.9
51,3,"high","none","WALWORTH","PT2",2345.14
51,3,"high","none","WALWORTH","PT3",162.39
52,3,"high","none","OTIS","PT1",3688.84
52,3,"high","none","OTIS","PT2",2595.79
52,3,"high","none","OTIS","PT3",246.91
53,3,"high","none","BlancaG","PT1",2967.28
53,3,"high","none","BlancaG","PT2",2462.95
53,3,"high","none","BlancaG","PT3",185.6
54,3,"high","none","LOUISE","PT1",3198.21
54,3,"high","none","LOUISE","PT2",2370.36
54,3,"high","none","LOUISE","PT3",194.88
55,3,"high","none","ALPOWA","PT1",3449.64
55,3,"high","none","ALPOWA","PT2",2108.75
55,3,"high","none","ALPOWA","PT3",260.13
56,3,"high","myco","WALWORTH","PT1",2778.38
56,3,"high","myco","WALWORTH","PT2",2259.6
56,3,"high","myco","WALWORTH","PT3",170.64
57,3,"high","myco","ALPOWA","PT1",3305.73
57,3,"high","myco","ALPOWA","PT2",2409.31
57,3,"high","myco","ALPOWA","PT3",175.46
58,3,"high","myco","LOUISE","PT1",3361.35
58,3,"high","myco","LOUISE","PT2",2549.08
58,3,"high","myco","LOUISE","PT3",155.61
59,3,"high","myco","BlancaG","PT1",3482.14
59,3,"high","myco","BlancaG","PT2",2460.24
59,3,"high","myco","BlancaG","PT3",189.36
60,3,"high","myco","OTIS","PT1",3395.24
60,3,"high","myco","OTIS","PT2",2501.59
60,3,"high","myco","OTIS","PT3",216.84
61,4,"low","myco","LOUISE","PT1",3325.57
61,4,"low","myco","LOUISE","PT2",2383.62
61,4,"low","myco","LOUISE","PT3",172.33
62,4,"low","myco","BlancaG","PT1",3269.36
62,4,"low","myco","BlancaG","PT2",2636.64
62,4,"low","myco","BlancaG","PT3",119.24
63,4,"low","myco","WALWORTH","PT1",2610.58
63,4,"low","myco","WALWORTH","PT2",2109.42
63,4,"low","myco","WALWORTH","PT3",136.65
64,4,"low","myco","OTIS","PT1",3129.03
64,4,"low","myco","OTIS","PT2",2367.46
64,4,"low","myco","OTIS","PT3",160.02
65,4,"low","myco","ALPOWA","PT1",2900.38
65,4,"low","myco","ALPOWA","PT2",2266.56
65,4,"low","myco","ALPOWA","PT3",130.65
66,4,"low","none","WALWORTH","PT1",2903.09
66,4,"low","none","WALWORTH","PT2",2307.1
66,4,"low","none","WALWORTH","PT3",150.23
67,4,"low","none","OTIS","PT1",3406.82
67,4,"low","none","OTIS","PT2",2358.26
67,4,"low","none","OTIS","PT3",306.26
68,4,"low","none","LOUISE","PT1",3262.42
68,4,"low","none","LOUISE","PT2",2621.3
68,4,"low","none","LOUISE","PT3",94.33
69,4,"low","none","ALPOWA","PT1",3213.52
69,4,"low","none","ALPOWA","PT2",2287.44
69,4,"low","none","ALPOWA","PT3",210.53
70,4,"low","none","BlancaG","PT1",3299.55
70,4,"low","none","BlancaG","PT2",2667.98
70,4,"low","none","BlancaG","PT3",353.52
71,4,"high","none","OTIS","PT1",3367.55
71,4,"high","none","OTIS","PT2",2587.79
71,4,"high","none","OTIS","PT3",239.69
72,4,"high","none","WALWORTH","PT1",3195.74
72,4,"high","none","WALWORTH","PT2",2428.95
72,4,"high","none","WALWORTH","PT3",235.15
73,4,"high","none","LOUISE","PT1",3389.36
73,4,"high","none","LOUISE","PT2",2463.04
73,4,"high","none","LOUISE","PT3",192.6
74,4,"high","none","BlancaG","PT1",3296.4
74,4,"high","none","BlancaG","PT2",2499.31
74,4,"high","none","BlancaG","PT3",192.77
75,4,"high","none","ALPOWA","PT1",3163.43
75,4,"high","none","ALPOWA","PT2",2223.13
75,4,"high","none","ALPOWA","PT3",463.65
76,4,"high","myco","LOUISE","PT1",3169.92
76,4,"high","myco","LOUISE","PT2",2457.93
76,4,"high","myco","LOUISE","PT3",490.82
77,4,"high","myco","BlancaG","PT1",3327.87
77,4,"high","myco","BlancaG","PT2",2480.39
77,4,"high","myco","BlancaG","PT3",72.63
78,4,"high","myco","OTIS","PT1",3340.98
78,4,"high","myco","OTIS","PT2",2421.35
78,4,"high","myco","OTIS","PT3",371.19
79,4,"high","myco","ALPOWA","PT1",3003.66
79,4,"high","myco","ALPOWA","PT2",2399.74
79,4,"high","myco","ALPOWA","PT3",231.12
80,4,"high","myco","WALWORTH","PT1",2936.19
80,4,"high","myco","WALWORTH","PT2",2306.95
80,4,"high","myco","WALWORTH","PT3",208.94
